Date,Ring,Plot,Species,Initial.Growth.subplot.1,Initial.Growth.subplot.2,Initial.Growth.subplot.3,Leaves.subplot.1,Leaves.subplot.2,Leaves.subplot.3,Flower.subplot.1,Flower.subplot.2,Flower.subplot.3,Open.Flowers.subplot.1,Open.Flowers.subplot.2,Open.Flowers.subplot.3,OpenFlowerCount_WholePlot,Fruits.subplot.1,Fruits.subplot.2,Fruits.subplot.3,Ripe.Fruits.subplot.1,Ripe.Fruits.subplot.2,Ripe.Fruits.subplot.3,Notes
5/12/2021,2,66,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,66,luppe,1,1,1,1,1,1,1,,,,,,,,,,,,,
5/12/2021,2,66,schsc,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,84,andge,1,1,,1,1,,,,,,,,,,,,,,,
5/12/2021,2,84,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,84,luppe,,1,1,,1,1,,1,1,,,,,,,,,,,
5/12/2021,2,84,poapr,1,1,1,1,1,1,1,1,,,,,,,,,,,,
5/12/2021,2,84,schsc,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,87,agrre,1,1,,1,1,,,,,,,,,,,,,,,
5/12/2021,2,87,andge,,1,1,,1,1,,,,,,,,,,,,,,
5/12/2021,2,87,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,87,luppe,1,1,1,1,1,1,1,1,,,,,,,,,,,,
5/12/2021,2,87,poapr,1,1,1,1,1,1,1,,1,,,,,,,,,,,
5/12/2021,2,87,schsc,,1,,,,,,,,,,,,,,,,,,? Plot 2
5/12/2021,2,92,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,2,92,broin,1,,1,1,,1,,,,,,,,,,,,,,
5/12/2021,2,92,solri,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,2,97,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,2,97,broin,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,2,97,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,106,agrre,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,2,106,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,2,106,luppe,1,1,1,1,1,1,1,,1,,,,,,,,,,,
5/12/2021,2,106,poapr,1,1,1,1,1,1,,1,,,,,,,,,,,,
5/12/2021,2,106,schsc,,1,,,,,,,,,,,,,,,,,,? Plot 2
5/12/2021,2,117,agrre,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,117,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,2,117,broin,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,2,117,poapr,1,1,1,1,1,1,1,,1,,,,,,,,,,,
5/12/2021,2,117,solri,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,119,agrre,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,119,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,2,119,broin,1,,,1,,,,,,,,,,,,,,,,
5/12/2021,2,119,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,2,119,schsc,1,1,1,,,,,,,,,,,,,,,,,
5/12/2021,2,119,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,128,andge,1,1,1,,,,,,,,,,,,,,,,,
5/12/2021,3,128,broin,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,128,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,128,schsc,1,,,,,,,,,,,,,,,,,,,
5/12/2021,3,128,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,131,broin,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,131,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,131,luppe,1,1,1,1,1,1,,,1,,,,,,,,,,,
5/12/2021,3,131,schsc,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,133,broin,1,,1,1,,1,,,,,,,,,,,,,,
5/12/2021,3,133,poapr,1,1,1,1,1,1,1,,,,,,,,,,,,,
5/12/2021,3,133,schsc,,1,1,,1,1,,,,,,,,,,,,,,
5/12/2021,3,133,solri,1,1,,1,1,,,,,,,,,,,,,,,
5/12/2021,3,149,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,149,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,149,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,149,luppe,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,149,schsc,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,149,solri,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,165,agrre,1,,1,1,,1,,,,,,,,,,,,,,
5/12/2021,3,165,andge,1,,1,1,,1,,,,,,,,,,,,,,
5/12/2021,3,165,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,165,luppe,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,165,poapr,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,166,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,166,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,166,poapr,1,1,1,1,1,1,,1,,,,,,,,,,,,
5/12/2021,3,171,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,171,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,171,broin,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,171,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,177,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,177,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,3,177,poapr,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,3,177,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,4,185,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,4,185,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,4,185,broin,1,,,1,,,,,,,,,,,,,,,,
5/12/2021,4,185,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,185,schsc,1,1,1,,,,,,,,,,,,,,,,,
5/12/2021,4,185,solri,,1,1,,1,1,,,,,,,,,,,,,,
5/12/2021,4,186,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,4,186,broin,,1,,,1,,,,,,,,,,,,,,,
5/12/2021,4,186,luppe,,1,1,,1,1,,,,,,,,,,,,,,
5/12/2021,4,186,poapr,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,4,186,solri,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,224,agrre,1,,1,1,,1,,,,,,,,,,,,,,
5/12/2021,4,224,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,224,schsc,1,1,1,,,,,,,,,,,,,,,,,
5/12/2021,4,224,solri,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,4,226,agrre,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,226,andge,1,1,1,1,1,1,,1,,,,,,,,,,,,
5/12/2021,4,226,broin,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,4,226,luppe,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,226,poapr,1,1,1,1,1,1,,1,,,,,,,,,,,,
5/12/2021,4,226,schsc,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,230,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,4,230,broin,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,230,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,230,poapr,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,4,230,solri,1,,1,1,,1,,,,,,,,,,,,,,
5/12/2021,4,232,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,4,232,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,232,solri,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,233,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,4,233,broin,1,1,,1,1,,,,,,,,,,,,,,,
5/12/2021,4,233,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,233,luppe,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/12/2021,4,233,schsc,1,1,,,,,,,,,,,,,,,,,,
5/12/2021,4,243,broin,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,4,243,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,4,243,luppe,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/12/2021,4,243,poapr,1,1,1,1,1,1,1,,,,,,,,,,,,,
5/12/2021,4,243,solri,1,,1,1,,1,,,,,,,,,,,,,,
5/12/2021,5,245,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,245,broin,1,1,,1,1,,,,,,,,,,,,,,,
5/12/2021,5,245,luppe,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,245,schsc,1,,,1,,,,,,,,,,,,,,,,
5/12/2021,5,264,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,264,broin,,,,,,,,,,,,,,,,,,,,
5/12/2021,5,264,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,5,264,luppe,1,1,1,1,1,1,,1,,,,,,,,,,,,
5/12/2021,5,264,poapr,1,1,1,1,1,1,,,1,,,,,,,,,,,
5/12/2021,5,264,schsc,,,,,,,,,,,,,,,,,,,,
5/12/2021,5,274,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,274,broin,,,,,,,,,,,,,,,,,,,,
5/12/2021,5,274,luppe,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/12/2021,5,274,poapr,1,1,1,1,1,1,,1,,,,,,,,,,,,
5/12/2021,5,274,schsc,,,1,,,,,,,,,,,,,,,,,
5/12/2021,5,278,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,278,luppe,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,278,schsc,1,1,1,,,,,,,,,,,,,,,,,
5/12/2021,5,278,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,280,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,280,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,280,luppe,1,,1,1,,1,,,,,,,,,,,,,,
5/12/2021,5,280,schsc,,,,,,,,,,,,,,,,,,,,
5/12/2021,5,282,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,282,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,282,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,5,282,poapr,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,293,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,293,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,5,293,broin,,1,1,,1,1,,,,,,,,,,,,,,
5/12/2021,5,293,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,5,299,agrre,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,5,299,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,308,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,308,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,6,308,luppe,1,1,,1,1,,1,1,,,,,,,,,,,,
5/12/2021,6,308,poapr,1,1,1,1,1,1,1,1,,,,,,,,,,,,
5/12/2021,6,308,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,320,broin,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,320,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,6,320,poapr,1,1,1,1,1,1,1,,,,,,,,,,,,,
5/12/2021,6,324,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,324,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,324,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,6,341,broin,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,341,luppe,1,1,1,1,1,1,1,,1,,,,,,,,,,,
5/12/2021,6,341,poapr,1,1,1,1,1,1,1,,1,,,,,,,,,,,
5/12/2021,6,341,schsc,,,,,,,,,,,,,,,,,,,,
5/12/2021,6,341,solri,,,,,,,,,,,,,,,,,,,,
5/12/2021,6,356,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,6,356,poapr,1,1,1,1,1,1,,1,1,,,,,,,,,,,
5/12/2021,6,356,schsc,1,1,1,,,,,,,,,,,,,,,,,
5/12/2021,6,356,solri,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,6,357,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,6,357,luppe,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,357,schsc,,,,,,,,,,,,,,,,,,,,
5/12/2021,6,360,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,360,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,360,lesca,,,,,,,,,,,,,,,,,,,,
5/12/2021,6,360,luppe,1,,,1,,,,,,,,,,,,,,,,
5/12/2021,6,361,agrre,,,1,,,1,,,,,,,,,,,,,,
5/12/2021,6,361,broin,1,,1,1,,1,,,,,,,,,,,,,,?
5/12/2021,6,361,poapr,1,1,1,1,1,1,,,,,,,,,,,,,,
5/12/2021,6,361,schsc,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,7,amoca,1,,,1,,,,,,,,,,,,,,,,
5/19/2021,1,7,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,7,anecy,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,7,asctu,,1,,,,,,,,,,,,,,,,,,
5/19/2021,1,7,luppe,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,7,petvi,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,7,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,11,achmi,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,11,broin,0,0,1,,,1,,,,,,,,,,,,,,
5/19/2021,1,11,lesca,1,1,,,,,,,,,,,,,,,,,,
5/19/2021,1,11,luppe,,,1,,,1,,,1,,,,,,,,,,,
5/19/2021,1,11,schsc,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,11,solri,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,17,amoca,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,17,anecy,1,,,1,,,,,,,,,,,,,,,,
5/19/2021,1,17,aggre,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,17,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,17,asctu,,1,,,1,,,,,,,,,,,,,,,
5/19/2021,1,17,lesca,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,17,petvi,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,17,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,21,agrre,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,21,amoca,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,21,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,21,asctu,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,21,broin,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,21,petvi,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,21,poapr,1,1,1,1,1,1,1,,1,,,,,,,,,,,
5/19/2021,1,21,schsc,,,1,,,1,,,,,,,,,,,,,,
5/19/2021,1,26,achmi,,1,1,,1,1,,,,,,,,,,,,,,
5/19/2021,1,26,agrre,1,0,0,1,0,0,,,,,,,,,,,,,,3?
5/19/2021,1,26,amoca,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,26,luppe,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/19/2021,1,26,poapr,1,1,1,1,1,1,1,,,,,,,,,,,,,
5/19/2021,1,26,schsc,1,,,,,,,,,,,,,,,,,,,
5/19/2021,1,34,achmi,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,34,amoca,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,34,anecy,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,34,agrre,1,,0,1,,0,,,,,,,,,,,,,,
5/19/2021,1,34,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,34,broin,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,34,lesca,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,34,luppe,1,,,1,,,1,,,,,,,,,,,,,
5/19/2021,1,48,achmi,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,48,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,48,amoca,,,1,,,1,,,,,,,,,,,,,,
5/19/2021,1,48,asctu,,1,1,,1,1,,,,,,,,,,,,,,
5/19/2021,1,48,broin,,,1,,,1,,,,,,,,,,,,,,
5/19/2021,1,48,lesca,1,,,,,,,,,,,,,,,,,,,
5/19/2021,1,48,luppe,1,,1,1,,1,1,,1,,,,,,,,,,,
5/19/2021,1,48,poapr,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/19/2021,1,48,schsc,1,,,1,,,,,,,,,,,,,,,,
5/19/2021,1,50,anecy,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,50,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,1,50,asctu,,,,,,,,,,,,,,,,,,,,
5/19/2021,1,50,luppe,1,1,1,1,1,1,1,,1,,,,,,,,,,,
5/19/2021,1,50,poapr,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/19/2021,1,50,schsc,,1,,,,,,,,,,,,,,,,,,
5/19/2021,1,50,solri,,,1,,,1,,,,,,,,,,,,,,
5/19/2021,2,66,anecy,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,66,asctu,1,1,1,,,,,,,,,,,,,,,,,
5/19/2021,2,66,broin,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,2,66,lesca,1,1,,,,,,,,,,,,,,,,,,
5/19/2021,2,66,luppe,1,1,1,1,1,1,1,,1,,,,,,,,,,,
5/19/2021,2,66,schsc,,,1,,,1,,,,,,,,,,,,,,
5/19/2021,2,84,amoca,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,84,asctu,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,84,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,2,84,lesca,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,84,luppe,1,1,1,1,1,1,,1,1,,,,,,,,,,,
5/19/2021,2,84,petvi,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,84,poapr,1,1,,1,1,,1,1,,,,,,,,,,,,
5/19/2021,2,84,schsc,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,87,agrre,1,1,,1,1,,,,,,,,,,,,,,,
5/19/2021,2,87,amoca,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,87,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,2,87,anecy,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,87,lesca,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,87,luppe,1,1,1,1,1,1,1,1,,,,,,,,,,,,
5/19/2021,2,87,petvi,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,87,poapr,1,1,1,1,1,1,1,,1,,,,,,,,,,,
5/19/2021,2,87,schsc,,1,,,,,,,,,,,,,,,,,,
5/19/2021,2,92,achmi,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,92,amoca,,1,,,1,,,,,,,,,,,,,,,
5/19/2021,2,92,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,2,92,anecy,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,92,asctu,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,92,broin,1,,1,1,,1,,,,,,,,,,,,,,
5/19/2021,2,92,petvi,1,1,,1,1,,,,,,,,,,,,,,,Amoca?
5/19/2021,2,92,solri,,,1,,,1,,,,,,,,,,,,,,
5/19/2021,2,97,achmi,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,97,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,2,97,amoca,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,97,asctu,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,97,broin,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,2,97,lesca,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,97,petvi,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,106,agrre,,,1,,,1,,,,,,,,,,,,,,
5/19/2021,2,106,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,2,106,asctu,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,106,luppe,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/19/2021,2,106,poapr,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/19/2021,2,106,schsc,1,1,1,,,1,,,,,,,,,,,,,,? Plot 2
5/19/2021,2,117,achmi,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,117,agrre,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,117,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,2,117,anecy,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,117,broin,,,1,,,1,,,,,,,,,,,,,,
5/19/2021,2,117,poapr,1,1,1,1,1,1,1,,1,,,,,,,,,,,
5/19/2021,2,117,solri,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,119,agrre,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,119,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,2,119,broin,1,,,1,,,,,,,,,,,,,,,,
5/19/2021,2,119,lesca,1,,1,,,1,,,,,,,,,,,,,,
5/19/2021,2,119,petvi,,,,,,,,,,,,,,,,,,,,
5/19/2021,2,119,schsc,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,2,119,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,3,128,amoca,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,3,128,andge,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,3,128,anecy,,,,,,,,,,,,,,,,,,,,
5/19/2021,3,128,asctu,,,,,,,,,,,,,,,,,,,,
5/19/2021,3,128,broin,,,,,,,,,,,,,,,,,,,,
5/19/2021,3,128,lesca,,1,,,,,,,,,,,,,,,,,,
5/19/2021,3,128,schsc,0,1,,,,,,,,,,,,,,,,,,
5/19/2021,3,128,solri,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,3,131,achmi,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,3,131,amoca,,,,,,,,,,,,,,,,,,,,
5/19/2021,3,131,broin,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,3,131,lesca,,,,,,,,,,,,,,,,,,,,
5/19/2021,3,131,luppe,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5/19/2021,3,131,petvi,,,,,,,,,,,,,,,,,,,,
5/19/2021,3,131,schsc,,,,,,,,,,,,,,,,,,,,
5/19/2021,3,133,achmi,,,,,,,,,,,,,,,,,,,,
5/19/2021,3,133,broin,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,3,133,petvi,,,,,,,,,,,,,,,,,,,,
5/19/2021,3,133,poapr,1,1,1,1,1,1,1,,,,,,,,,,,,,
5/19/2021,3,133,schsc,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,3,133,solri,0,1,,0,1,,,,,,,,,,,,,,,
5/19/2021,3,149,agrre,1,1,1,1,1,1,,,,,,,,,,,,,,
5/19/2021,3,149,amoca,,,,,,,,,,,,,,,,,,,,
