Date,MaxTemp(degF),MinTemp(degF),Precip(inches),TempSource,PrecipSource
1/15/1963,-3,-27,0,Cedar Weather Station,Cedar Weather Station
1/16/1963,17,-20,0,Cedar Weather Station,Cedar Weather Station
1/17/1963,16,-7,0,Cedar Weather Station,Cedar Weather Station
1/18/1963,16,-15,0,Cedar Weather Station,Cedar Weather Station
1/19/1963,-5,-20,0,Cedar Weather Station,Cedar Weather Station
1/20/1963,-5,-15,0.02,Cedar Weather Station,Cedar Weather Station
1/21/1963,-5,-28,0.02,Cedar Weather Station,Cedar Weather Station
1/22/1963,-5,-23,0,Cedar Weather Station,Cedar Weather Station
1/23/1963,-1,-31,0,Cedar Weather Station,Cedar Weather Station
1/24/1963,5,-11,0,Cedar Weather Station,Cedar Weather Station
1/25/1963,9,-19,0,Cedar Weather Station,Cedar Weather Station
1/26/1963,4,-24,0,Cedar Weather Station,Cedar Weather Station
1/27/1963,3,-18,0,Cedar Weather Station,Cedar Weather Station
1/28/1963,17,-11,0,Cedar Weather Station,Cedar Weather Station
1/29/1963,13,-6,0.02,Cedar Weather Station,Cedar Weather Station
1/30/1963,6,-17,0,Cedar Weather Station,Cedar Weather Station
1/31/1963,18,-7,0,Cedar Weather Station,Cedar Weather Station
2/1/1963,34,10,0.03,Cedar Weather Station,Cedar Weather Station
2/2/1963,36,-8,0,Cedar Weather Station,Cedar Weather Station
2/3/1963,8,-15,0,Cedar Weather Station,Cedar Weather Station
2/4/1963,28,7,0.06,Cedar Weather Station,Cedar Weather Station
2/5/1963,42,11,0,Cedar Weather Station,Cedar Weather Station
2/6/1963,40,30,0,Cedar Weather Station,Cedar Weather Station
2/7/1963,32,24,0,Cedar Weather Station,Cedar Weather Station
2/8/1963,25,12,0.05,Cedar Weather Station,Cedar Weather Station
2/9/1963,25,4,0.01,Cedar Weather Station,Cedar Weather Station
2/10/1963,21,10,0.04,Cedar Weather Station,Cedar Weather Station
2/11/1963,22,-1,0.01,Cedar Weather Station,Cedar Weather Station
2/12/1963,27,14,0,Cedar Weather Station,Cedar Weather Station
2/13/1963,27,12,0,Cedar Weather Station,Cedar Weather Station
2/14/1963,17,12,0,Cedar Weather Station,Cedar Weather Station
2/15/1963,21,-19,0,Cedar Weather Station,Cedar Weather Station
2/16/1963,25,13,0,Cedar Weather Station,Cedar Weather Station
2/17/1963,29,18,0,Cedar Weather Station,Cedar Weather Station
2/18/1963,31,12,0.03,Cedar Weather Station,Cedar Weather Station
2/19/1963,32,10,0,Cedar Weather Station,Cedar Weather Station
2/20/1963,22,-10,0,Cedar Weather Station,Cedar Weather Station
2/21/1963,0,-18,0,Cedar Weather Station,Cedar Weather Station
2/22/1963,17,-11,0,Cedar Weather Station,Cedar Weather Station
2/23/1963,25,-16,0,Cedar Weather Station,Cedar Weather Station
2/24/1963,27,-8,0,Cedar Weather Station,Cedar Weather Station
2/25/1963,14,-11,0,Cedar Weather Station,Cedar Weather Station
2/26/1963,21,-18,0,Cedar Weather Station,Cedar Weather Station
2/27/1963,29,13,0,Cedar Weather Station,Cedar Weather Station
2/28/1963,26,-5,0,Cedar Weather Station,Cedar Weather Station
3/1/1963,39,14,0,Cedar Weather Station,Cedar Weather Station
3/2/1963,42,26,0,Cedar Weather Station,Cedar Weather Station
3/3/1963,37,22,0,Cedar Weather Station,Cedar Weather Station
3/4/1963,35,28,0,Cedar Weather Station,Cedar Weather Station
3/5/1963,39,10,0,Cedar Weather Station,Cedar Weather Station
3/6/1963,37,17,0.01,Cedar Weather Station,Cedar Weather Station
3/7/1963,35,17,0.02,Cedar Weather Station,Cedar Weather Station
3/8/1963,34,18,0,Cedar Weather Station,Cedar Weather Station
3/9/1963,31,6,0.2,Cedar Weather Station,Cedar Weather Station
3/10/1963,27,-12,0,Cedar Weather Station,Cedar Weather Station
3/11/1963,37,18,0.09,Cedar Weather Station,Cedar Weather Station
3/12/1963,37,31,0,Cedar Weather Station,Cedar Weather Station
3/13/1963,36,15,0,Cedar Weather Station,Cedar Weather Station
3/14/1963,46,9,0,Cedar Weather Station,Cedar Weather Station
3/15/1963,44,27,0,Cedar Weather Station,Cedar Weather Station
3/16/1963,39,36,0.09,Cedar Weather Station,Cedar Weather Station
3/17/1963,41,31,0,Cedar Weather Station,Cedar Weather Station
3/18/1963,37,25,0,Cedar Weather Station,Cedar Weather Station
3/19/1963,36,22,0.69,Cedar Weather Station,Cedar Weather Station
3/20/1963,39,23,0,Cedar Weather Station,Cedar Weather Station
3/21/1963,38,11,0,Cedar Weather Station,Cedar Weather Station
3/22/1963,46,11,0,Cedar Weather Station,Cedar Weather Station
3/23/1963,65,28,0,Cedar Weather Station,Cedar Weather Station
3/24/1963,73,40,0,Cedar Weather Station,Cedar Weather Station
3/25/1963,64,36,0.04,Cedar Weather Station,Cedar Weather Station
3/26/1963,54,28,0,Cedar Weather Station,Cedar Weather Station
3/27/1963,59,30,0,Cedar Weather Station,Cedar Weather Station
3/28/1963,65,27,0,Cedar Weather Station,Cedar Weather Station
3/29/1963,69,52,0,Cedar Weather Station,Cedar Weather Station
3/30/1963,76,31,0,Cedar Weather Station,Cedar Weather Station
3/31/1963,73,42,0,Cedar Weather Station,Cedar Weather Station
4/1/1963,69,48,0,Cedar Weather Station,Cedar Weather Station
4/2/1963,76,57,0,Cedar Weather Station,Cedar Weather Station
4/3/1963,71,28,0,Cedar Weather Station,Cedar Weather Station
4/4/1963,50,23,0,Cedar Weather Station,Cedar Weather Station
4/5/1963,65,32,0,Cedar Weather Station,Cedar Weather Station
4/6/1963,67,26,0,Cedar Weather Station,Cedar Weather Station
4/7/1963,67,39,0.42,Cedar Weather Station,Cedar Weather Station
4/8/1963,47,39,0,Cedar Weather Station,Cedar Weather Station
4/9/1963,51,23,0,Cedar Weather Station,Cedar Weather Station
4/10/1963,49,19,0,Cedar Weather Station,Cedar Weather Station
4/11/1963,54,26,0,Cedar Weather Station,Cedar Weather Station
4/12/1963,56,40,0.02,Cedar Weather Station,Cedar Weather Station
4/13/1963,62,34,0,Cedar Weather Station,Cedar Weather Station
4/14/1963,72,27,0,Cedar Weather Station,Cedar Weather Station
4/15/1963,74,39,0,Cedar Weather Station,Cedar Weather Station
4/16/1963,80,37,0.25,Cedar Weather Station,Cedar Weather Station
4/17/1963,70,44,0,Cedar Weather Station,Cedar Weather Station
4/18/1963,53,18,0.02,Cedar Weather Station,Cedar Weather Station
4/19/1963,55,37,0.29,Cedar Weather Station,Cedar Weather Station
4/20/1963,52,35,0,Cedar Weather Station,Cedar Weather Station
4/21/1963,56,26,0,Cedar Weather Station,Cedar Weather Station
4/22/1963,50,32,0.32,Cedar Weather Station,Cedar Weather Station
4/23/1963,48,30,0.18,Cedar Weather Station,Cedar Weather Station
4/24/1963,60,27,0,Cedar Weather Station,Cedar Weather Station
4/25/1963,67,40,0,Cedar Weather Station,Cedar Weather Station
4/26/1963,70,33,0.01,Cedar Weather Station,Cedar Weather Station
4/27/1963,68,45,0,Cedar Weather Station,Cedar Weather Station
4/28/1963,64,52,0.04,Cedar Weather Station,Cedar Weather Station
4/29/1963,59,39,0.86,Cedar Weather Station,Cedar Weather Station
4/30/1963,56,28,0,Cedar Weather Station,Cedar Weather Station
5/1/1963,66,31,0,Cedar Weather Station,Cedar Weather Station
5/2/1963,63,49,0.07,Cedar Weather Station,Cedar Weather Station
5/3/1963,71,47,0.2,Cedar Weather Station,Cedar Weather Station
5/4/1963,67,35,0,Cedar Weather Station,Cedar Weather Station
5/5/1963,67,33,0,Cedar Weather Station,Cedar Weather Station
5/6/1963,73,47,0,Cedar Weather Station,Cedar Weather Station
5/7/1963,88,52,0.32,Cedar Weather Station,Cedar Weather Station
5/8/1963,87,60,0,Cedar Weather Station,Cedar Weather Station
5/9/1963,76,54,0,Cedar Weather Station,Cedar Weather Station
5/10/1963,62,38,1.21,Cedar Weather Station,Cedar Weather Station
5/11/1963,51,28,0,Cedar Weather Station,Cedar Weather Station
5/12/1963,47,27,0.96,Cedar Weather Station,Cedar Weather Station
5/13/1963,59,38,0.03,Cedar Weather Station,Cedar Weather Station
5/14/1963,56,44,0,Cedar Weather Station,Cedar Weather Station
5/15/1963,67,38,0,Cedar Weather Station,Cedar Weather Station
5/16/1963,76,43,0,Cedar Weather Station,Cedar Weather Station
5/17/1963,75,55,0.14,Cedar Weather Station,Cedar Weather Station
5/18/1963,67,46,0,Cedar Weather Station,Cedar Weather Station
5/19/1963,69,34,0,Cedar Weather Station,Cedar Weather Station
5/20/1963,61,34,0.03,Cedar Weather Station,Cedar Weather Station
5/21/1963,52,38,0.05,Cedar Weather Station,Cedar Weather Station
5/22/1963,57,30,0,Cedar Weather Station,Cedar Weather Station
5/23/1963,65,27,0,Cedar Weather Station,Cedar Weather Station
5/24/1963,72,44,0.39,Cedar Weather Station,Cedar Weather Station
5/25/1963,74,46,0,Cedar Weather Station,Cedar Weather Station
5/26/1963,73,51,0,Cedar Weather Station,Cedar Weather Station
5/27/1963,69,56,0.63,Cedar Weather Station,Cedar Weather Station
5/28/1963,64,49,0.24,Cedar Weather Station,Cedar Weather Station
5/29/1963,74,38,0,Cedar Weather Station,Cedar Weather Station
5/30/1963,81,46,0,Cedar Weather Station,Cedar Weather Station
5/31/1963,82,63,0.03,Cedar Weather Station,Cedar Weather Station
6/1/1963,79,64,0,Cedar Weather Station,Cedar Weather Station
6/2/1963,82,62,0.92,Cedar Weather Station,Cedar Weather Station
6/3/1963,87,62,0.7,Cedar Weather Station,Cedar Weather Station
6/4/1963,89,65,0,Cedar Weather Station,Cedar Weather Station
6/5/1963,84,62,0.48,Cedar Weather Station,Cedar Weather Station
6/6/1963,92,65,0,Cedar Weather Station,Cedar Weather Station
6/7/1963,82,49,0.6,Cedar Weather Station,Cedar Weather Station
6/8/1963,85,62,0.47,Cedar Weather Station,Cedar Weather Station
6/9/1963,77,62,0.05,Cedar Weather Station,Cedar Weather Station
6/10/1963,71,45,0.3,Cedar Weather Station,Cedar Weather Station
6/11/1963,63,43,0,Cedar Weather Station,Cedar Weather Station
6/12/1963,70,39,0,Cedar Weather Station,Cedar Weather Station
6/13/1963,82,55,0,Cedar Weather Station,Cedar Weather Station
6/14/1963,75,49,0,Cedar Weather Station,Cedar Weather Station
6/15/1963,79,48,0,Cedar Weather Station,Cedar Weather Station
6/16/1963,81,49,0,Cedar Weather Station,Cedar Weather Station
6/17/1963,84,52,0,Cedar Weather Station,Cedar Weather Station
6/18/1963,84,53,0,Cedar Weather Station,Cedar Weather Station
6/19/1963,82,62,0.01,Cedar Weather Station,Cedar Weather Station
6/20/1963,72,40,0,Cedar Weather Station,Cedar Weather Station
6/21/1963,73,44,0,Cedar Weather Station,Cedar Weather Station
6/22/1963,80,49,0,Cedar Weather Station,Cedar Weather Station
6/23/1963,84,54,0,Cedar Weather Station,Cedar Weather Station
6/24/1963,86,53,0,Cedar Weather Station,Cedar Weather Station
6/25/1963,94,66,0,Cedar Weather Station,Cedar Weather Station
6/26/1963,90,57,0.1,Cedar Weather Station,Cedar Weather Station
6/27/1963,89,62,0,Cedar Weather Station,Cedar Weather Station
6/28/1963,86,56,0.04,Cedar Weather Station,Cedar Weather Station
6/29/1963,97,64,0,Cedar Weather Station,Cedar Weather Station
6/30/1963,100,72,0,Cedar Weather Station,Cedar Weather Station
7/1/1963,94,70,0,Cedar Weather Station,Cedar Weather Station
7/2/1963,82,53,0,Cedar Weather Station,Cedar Weather Station
7/3/1963,75,50,0,Cedar Weather Station,Cedar Weather Station
7/4/1963,81,49,0,Cedar Weather Station,Cedar Weather Station
7/5/1963,83,56,0,Cedar Weather Station,Cedar Weather Station
7/6/1963,91,56,0,Cedar Weather Station,Cedar Weather Station
7/7/1963,85,61,0,Cedar Weather Station,Cedar Weather Station
7/8/1963,82,48,0,Cedar Weather Station,Cedar Weather Station
7/9/1963,88,51,0,Cedar Weather Station,Cedar Weather Station
7/10/1963,89,54,0,Cedar Weather Station,Cedar Weather Station
7/11/1963,89,63,0,Cedar Weather Station,Cedar Weather Station
7/12/1963,83,64,0.26,Cedar Weather Station,Cedar Weather Station
7/13/1963,90,65,0.02,Cedar Weather Station,Cedar Weather Station
7/14/1963,83,58,0,Cedar Weather Station,Cedar Weather Station
7/15/1963,74,53,0,Cedar Weather Station,Cedar Weather Station
7/16/1963,81,52,0.05,Cedar Weather Station,Cedar Weather Station
7/17/1963,88,58,0.35,Cedar Weather Station,Cedar Weather Station
7/18/1963,84,58,0.09,Cedar Weather Station,Cedar Weather Station
7/19/1963,88,64,0.09,Cedar Weather Station,Cedar Weather Station
7/20/1963,90,58,0.15,Cedar Weather Station,Cedar Weather Station
7/21/1963,92,59,0,Cedar Weather Station,Cedar Weather Station
7/22/1963,92,66,0,Cedar Weather Station,Cedar Weather Station
7/23/1963,91,64,0,Cedar Weather Station,Cedar Weather Station
7/24/1963,87,67,0.2,Cedar Weather Station,Cedar Weather Station
7/25/1963,90,69,0,Cedar Weather Station,Cedar Weather Station
7/26/1963,91,68,0.01,Cedar Weather Station,Cedar Weather Station
7/27/1963,88,68,0.11,Cedar Weather Station,Cedar Weather Station
7/28/1963,80,60,1.06,Cedar Weather Station,Cedar Weather Station
7/29/1963,85,54,0,Cedar Weather Station,Cedar Weather Station
7/30/1963,81,64,0.11,Cedar Weather Station,Cedar Weather Station
7/31/1963,86,57,0,Cedar Weather Station,Cedar Weather Station
8/1/1963,87,53,0,Cedar Weather Station,Cedar Weather Station
8/2/1963,86,61,1.06,Cedar Weather Station,Cedar Weather Station
8/3/1963,85,59,0,Cedar Weather Station,Cedar Weather Station
8/4/1963,88,55,0,Cedar Weather Station,Cedar Weather Station
8/5/1963,87,59,0,Cedar Weather Station,Cedar Weather Station
8/6/1963,93,66,0,Cedar Weather Station,Cedar Weather Station
8/7/1963,92,61,0,Cedar Weather Station,Cedar Weather Station
8/8/1963,90,54,0,Cedar Weather Station,Cedar Weather Station
8/9/1963,87,61,0,Cedar Weather Station,Cedar Weather Station
8/10/1963,86,48,0,Cedar Weather Station,Cedar Weather Station
8/11/1963,86,57,0.01,Cedar Weather Station,Cedar Weather Station
8/12/1963,83,64,1.22,Cedar Weather Station,Cedar Weather Station
8/13/1963,76,56,0,Cedar Weather Station,Cedar Weather Station
8/14/1963,76,44,0,Cedar Weather Station,Cedar Weather Station
8/15/1963,79,47,0,Cedar Weather Station,Cedar Weather Station
8/16/1963,80,52,0.01,Cedar Weather Station,Cedar Weather Station
8/17/1963,70,39,0,Cedar Weather Station,Cedar Weather Station
8/18/1963,71,41,0,Cedar Weather Station,Cedar Weather Station
8/19/1963,80,50,0,Cedar Weather Station,Cedar Weather Station
8/20/1963,90,54,0,Cedar Weather Station,Cedar Weather Station
8/21/1963,84,57,0,Cedar Weather Station,Cedar Weather Station
8/22/1963,82,61,0.18,Cedar Weather Station,Cedar Weather Station
8/23/1963,81,63,0.08,Cedar Weather Station,Cedar Weather Station
8/24/1963,68,60,0,Cedar Weather Station,Cedar Weather Station
8/25/1963,74,49,0,Cedar Weather Station,Cedar Weather Station
8/26/1963,78,56,0,Cedar Weather Station,Cedar Weather Station
8/27/1963,75,60,0.1,Cedar Weather Station,Cedar Weather Station
8/28/1963,84,58,0,Cedar Weather Station,Cedar Weather Station
8/29/1963,79,51,0,Cedar Weather Station,Cedar Weather Station
8/30/1963,74,52,0,Cedar Weather Station,Cedar Weather Station
8/31/1963,81,43,0,Cedar Weather Station,Cedar Weather Station
9/1/1963,83,52,0,Cedar Weather Station,Cedar Weather Station
9/2/1963,70,61,0.84,Cedar Weather Station,Cedar Weather Station
9/3/1963,78,48,0.03,Cedar Weather Station,Cedar Weather Station
9/4/1963,69,56,0,Cedar Weather Station,Cedar Weather Station
9/5/1963,72,48,0,Cedar Weather Station,Cedar Weather Station
9/6/1963,75,58,0,Cedar Weather Station,Cedar Weather Station
9/7/1963,80,51,0,Cedar Weather Station,Cedar Weather Station
9/8/1963,87,50,0,Cedar Weather Station,Cedar Weather Station
9/9/1963,80,51,0,Cedar Weather Station,Cedar Weather Station
9/10/1963,84,47,0,Cedar Weather Station,Cedar Weather Station
9/11/1963,85,61,0,Cedar Weather Station,Cedar Weather Station
9/12/1963,78,46,0.42,Cedar Weather Station,Cedar Weather Station
9/13/1963,63,33,0,Cedar Weather Station,Cedar Weather Station
9/14/1963,73,40,0,Cedar Weather Station,Cedar Weather Station
9/15/1963,77,54,0.09,Cedar Weather Station,Cedar Weather Station
9/16/1963,80,58,0.62,Cedar Weather Station,Cedar Weather Station
9/17/1963,85,63,0,Cedar Weather Station,Cedar Weather Station
9/18/1963,77,62,0.5,Cedar Weather Station,Cedar Weather Station
9/19/1963,64,54,0,Cedar Weather Station,Cedar Weather Station
9/20/1963,72,45,0,Cedar Weather Station,Cedar Weather Station
9/21/1963,65,46,0,Cedar Weather Station,Cedar Weather Station
9/22/1963,61,37,0,Cedar Weather Station,Cedar Weather Station
9/23/1963,61,45,0.05,Cedar Weather Station,Cedar Weather Station
9/24/1963,65,54,0.75,Cedar Weather Station,Cedar Weather Station
9/25/1963,78,53,0.07,Cedar Weather Station,Cedar Weather Station
9/26/1963,77,44,0,Cedar Weather Station,Cedar Weather Station
9/27/1963,80,56,0,Cedar Weather Station,Cedar Weather Station
9/28/1963,62,45,0.25,Cedar Weather Station,Cedar Weather Station
9/29/1963,69,35,0,Cedar Weather Station,Cedar Weather Station
9/30/1963,79,44,0,Cedar Weather Station,Cedar Weather Station
10/1/1963,84,47,0,Cedar Weather Station,Cedar Weather Station
10/2/1963,78,50,0,Cedar Weather Station,Cedar Weather Station
10/3/1963,71,38,0,Cedar Weather Station,Cedar Weather Station
10/4/1963,77,45,0,Cedar Weather Station,Cedar Weather Station
10/5/1963,85,48,0,Cedar Weather Station,Cedar Weather Station
10/6/1963,84,47,0,Cedar Weather Station,Cedar Weather Station
10/7/1963,71,47,0,Cedar Weather Station,Cedar Weather Station
10/8/1963,71,39,0,Cedar Weather Station,Cedar Weather Station
10/9/1963,78,35,0,Cedar Weather Station,Cedar Weather Station
10/10/1963,71,52,0,Cedar Weather Station,Cedar Weather Station
10/11/1963,70,48,0,Cedar Weather Station,Cedar Weather Station
10/12/1963,71,33,0,Cedar Weather Station,Cedar Weather Station
10/13/1963,77,41,0,Cedar Weather Station,Cedar Weather Station
10/14/1963,79,48,0,Cedar Weather Station,Cedar Weather Station
10/15/1963,77,53,0,Cedar Weather Station,Cedar Weather Station
10/16/1963,78,53,0,Cedar Weather Station,Cedar Weather Station
10/17/1963,66,54,0,Cedar Weather Station,Cedar Weather Station
10/18/1963,68,51,0,Cedar Weather Station,Cedar Weather Station
10/19/1963,75,44,0,Cedar Weather Station,Cedar Weather Station
10/20/1963,65,56,0.01,Cedar Weather Station,Cedar Weather Station
10/21/1963,75,54,0.42,Cedar Weather Station,Cedar Weather Station
10/22/1963,75,55,0,Cedar Weather Station,Cedar Weather Station
10/23/1963,81,57,0,Cedar Weather Station,Cedar Weather Station
10/24/1963,74,60,0.02,Cedar Weather Station,Cedar Weather Station
10/25/1963,69,40,0,Cedar Weather Station,Cedar Weather Station
10/26/1963,64,44,0,Cedar Weather Station,Cedar Weather Station
10/27/1963,62,32,0,Cedar Weather Station,Cedar Weather Station
10/28/1963,54,33,0.05,Cedar Weather Station,Cedar Weather Station
10/29/1963,53,20,0,Cedar Weather Station,Cedar Weather Station
10/30/1963,58,39,0,Cedar Weather Station,Cedar Weather Station
10/31/1963,54,36,0,Cedar Weather Station,Cedar Weather Station
11/1/1963,48,27,0,Cedar Weather Station,Cedar Weather Station
11/2/1963,49,13,0,Cedar Weather Station,Cedar Weather Station
11/3/1963,62,36,0,Cedar Weather Station,Cedar Weather Station
11/4/1963,60,22,0,Cedar Weather Station,Cedar Weather Station
11/5/1963,50,36,0,Cedar Weather Station,Cedar Weather Station
11/6/1963,64,38,0,Cedar Weather Station,Cedar Weather Station
11/7/1963,60,22,0,Cedar Weather Station,Cedar Weather Station
11/8/1963,55,45,0,Cedar Weather Station,Cedar Weather Station
11/9/1963,62,40,0,Cedar Weather Station,Cedar Weather Station
11/10/1963,52,29,0,Cedar Weather Station,Cedar Weather Station
11/11/1963,46,30,0,Cedar Weather Station,Cedar Weather Station
11/12/1963,38,31,0,Cedar Weather Station,Cedar Weather Station
11/13/1963,40,32,0,Cedar Weather Station,Cedar Weather Station
11/14/1963,39,26,0,Cedar Weather Station,Cedar Weather Station
11/15/1963,54,25,0,Cedar Weather Station,Cedar Weather Station
11/16/1963,54,36,0,Cedar Weather Station,Cedar Weather Station
11/17/1963,53,33,0,Cedar Weather Station,Cedar Weather Station
11/18/1963,56,15,0,Cedar Weather Station,Cedar Weather Station
11/19/1963,57,22,0,Cedar Weather Station,Cedar Weather Station
11/20/1963,47,33,0.01,Cedar Weather Station,Cedar Weather Station
11/21/1963,48,39,0,Cedar Weather Station,Cedar Weather Station
11/22/1963,56,25,0.73,Cedar Weather Station,Cedar Weather Station
11/23/1963,29,12,0,Cedar Weather Station,Cedar Weather Station
11/24/1963,32,15,0,Cedar Weather Station,Cedar Weather Station
11/25/1963,39,30,0,Cedar Weather Station,Cedar Weather Station
11/26/1963,46,28,0,Cedar Weather Station,Cedar Weather Station
11/27/1963,51,25,0,Cedar Weather Station,Cedar Weather Station
11/28/1963,46,31,0,Cedar Weather Station,Cedar Weather Station
11/29/1963,37,23,0.07,Cedar Weather Station,Cedar Weather Station
11/30/1963,31,14,0,Cedar Weather Station,Cedar Weather Station
12/1/1963,24,2,0,Cedar Weather Station,Cedar Weather Station
12/2/1963,30,5,0.04,Cedar Weather Station,Cedar Weather Station
12/3/1963,27,3,0,Cedar Weather Station,Cedar Weather Station
12/4/1963,32,23,0,Cedar Weather Station,Cedar Weather Station
12/5/1963,38,24,0,Cedar Weather Station,Cedar Weather Station
12/6/1963,37,21,0,Cedar Weather Station,Cedar Weather Station
12/7/1963,42,29,0,Cedar Weather Station,Cedar Weather Station
12/8/1963,37,17,0.63,Cedar Weather Station,Cedar Weather Station
12/9/1963,19,13,0.04,Cedar Weather Station,Cedar Weather Station
12/10/1963,19,10,0,Cedar Weather Station,Cedar Weather Station
12/11/1963,18,5,0.02,Cedar Weather Station,Cedar Weather Station
12/12/1963,15,5,0,Cedar Weather Station,Cedar Weather Station
12/13/1963,10,-1,0.01,Cedar Weather Station,Cedar Weather Station
12/14/1963,10,-3,0,Cedar Weather Station,Cedar Weather Station
12/15/1963,4,-15,0,Cedar Weather Station,Cedar Weather Station
12/16/1963,4,-22,0,Cedar Weather Station,Cedar Weather Station
12/17/1963,8,-14,0,Cedar Weather Station,Cedar Weather Station
12/18/1963,1,-21,0,Cedar Weather Station,Cedar Weather Station
